Name,Position,University,Place,Code
Lunelia Sonia Betancour Sanchez,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",10000
Jaime Arturo Otazo Hermosilla,,UNIVERSIDAD DE LA FRONTERA,"Temuco, Chile",10001
Patricio Alejandro Rojas Montecinos,Assistant Professor,UNIVERSIDAD DE SANTIAGO DE CHILE,"Santiago, Chile",10002
Patricio Rodrigo Orio Alvarez,Profesor Titular,UNIVERSIDAD DE VALPARAÍSO,"Valparaíso, Chile",10003
María Pertusa Pastor,Profesor Asistente,UNIVERSIDAD DE SANTIAGO DE CHILE. FACULTAD QUÍMICA Y BIOLOGÍA,"Santiago, Chile",10004
Reinaldo Salazar Espinoza,,UNIVERSIDAD DE PLAYA ANCHA,"Valparaíso, Chile",10005
Elke Elisabeth Schlack Fuhrmann,,UNIVERSIDAD ANDRES BELLO,"Santiago, Chile",10006
Nancy Rocío Hidalgo Cepeda,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10007
Apolinaria del Rosario García Cancino,Investigador,UNIVERSIDAD DE CONCEPCIÓN,"Concepción, Chile",10009
José Manuel Del Valle Lladser,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiafo, Chile",10010
Gonzalo Alexis Núñez Montoya,,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,"Santiago, Chile",10011
Pedro Reszka,Associate Professor,Universidad Adolfo Ibáñez,"Santiago, Chile",10012
Andres Hernan Fuentes Castillo,Professor Adjunto,UNIVERSIDAD TÉNICA FEDERICO SANTA MARÍA,"Valparaíso, Chile",10013
Macarena Gerding González,Profesor Asociado,"UNIVERSIDAD DE CONCEPCIÓN, FACULTAD DE AGRONOMÍA","Chillán, Chile",10014
Juan Carlos Ferrada Borquez,,UNIVERSIDAD DE VALPARAÍSO,"Valparaíso, Chile",10015
Paulina Andrea Ruiz Cabello,,"CENTRO DE INVESTIGACIÓN AVANZADA EN EDUCACIÓN, UNIVERSIDAD DE CHILE","Santiago, Chile",10016
Albert Leandro Herrera Zeppelin,,PONTIFICIA UNIVERSIDAD CATÓLICA,"Santiago, Chile",10017
José Alberto De La Fuente Arancibia,,UNIVERSIDAD CATÓLICA SIKVA HENRÍQUEZ,"Santiago, Chile",10018
Laura Reagan Stephan,,UNIVERSIDAD ADOLFO IBÁÑEZ,"Santiago, Chile",10019
Gonzalo Bustamante Kuschel,Associate Professor,Universidad Adolfo Ibáñez,"Santiago, Chile",10020
Cecilia Andrea Rivera Castro,académico e investigador,UNIVERSITY OF  PLAYA ANCHA,"VALPARAISO, Chile",10021
Rodrigo Villaseñor,,UNIVERSIDAD DE PLAYA ANCHA,"Valparaíso, Chile",10022
Raúl Pedro Elgueta Rosas,Asociado,IDEA-USACH,"Santiago de Chile, Chile",10023
Barbara Crettier Bize,,UNIVERSIDAD CATÓLICA DEL NORTE (CREDHU),"Coquimbo, Chile",10024
